RollNo,Name,FatherName,Class,Section,University
200101,Muhammad Ahmed,Tariq Mahmood,BS-CS,A,Air University
200102,Ali Raza,Ghulam Abbas,BS-CS,A,Air University
200103,Zainab Fatima,Muhammad Ishaq,BS-CS,A,Air University
200104,Hamza Khan,Sajid Khan,BS-CS,A,Air University
200105,Ayesha Bibi,Abdul Rehman,BS-CS,A,Air University
200106,Bilal Hussain,Khadim Hussain,BS-CS,A,Air University
200107,ALI,TALAL,MECHATRONICS,A,AIR UNI
200108,Usman Ghani,Fazal Karim,BS-CS,A,Air University
200109,Hafsa Noor,Noor Muhammad,BS-CS,A,Air University
200110,Zeeshan Ali,Asghar Ali,BS-CS,A,Air University
200111,Amna Imran,Imran Khan,BS-CS,B,Air University
200112,Mustafa Kamal,Kamal Ahmed,BS-CS,B,Air University
200113,Jana Noor,Shahid Mehmood,BS-CS,B,Air University
200114,Asad Ullah,Sanaullah,BS-CS,B,Air University
200115,Fiza Batool,Syed Ali Raza,BS-CS,B,Air University
200116,Hassan Ahmed,Naseer Ahmed,BS-CS,B,Air University
200117,Iqra Aziz,Aziz ur Rehman,BS-CS,B,Air University
200118,Omer Farooq,Tariq Farooq,BS-CS,B,Air University
200119,Khadija Tul Kubra,Ghulam Mustafa,BS-CS,B,Air University
200120,Waqar Younis,Younis Ali,BS-CS,B,Air University
200121,Tayyaba Khalid,Khalid Mahmood,BS-SE,A,Air University
200122,Junaid Khan,Arshad Khan,BS-SE,A,Air University
200123,Nimra Shahzadi,Shahzad Ahmed,BS-SE,A,Air University
200124,Fahad Mustafa,Ghulam Mustafa,BS-SE,A,Air University
200125,Mahnoor Baloch,Arif Baloch,BS-SE,A,Air University
200126,Saad Rafique,Rafique Ahmed,BS-SE,A,Air University
200127,Rimsha Kanwal,Kanwal Shahzad,BS-SE,A,Air University
200128,Daniyal Asif,Asif Ali,BS-SE,A,Air University
200129,Laiba Khan,Najeeb Khan,BS-SE,A,Air University
200130,Umair Jaswal,Tariq Jaswal,BS-SE,A,Air University
200131,Zohaib Hassan,Mumtaz Hassan,BS-SE,B,Air University
200132,Maira Khan,Sultan Khan,BS-SE,B,Air University
